CowSelecs,GeneralValueReg,ebv_milkReg,evb_fatReg,ebv_proteinReg,ebv_insemenationReg,ebv_serviceReg,ebv_somaticNucReg,ebv_productiveLongLivityReg,ebv_mastitReg,ebv_proteinPercentsReg,ebv_fatPercentsReg,ebv_milkReg_rel,ebv_fatReg_rel,ebv_proteinReg_rel,ebv_insemenationReg_rel,ebv_serviceReg_rel,ebv_somaticNucReg_rel,ebv_productiveLongLivityReg_rel,ebv_mastitReg_rel,ebv_proteinPercentsReg_rel,ebv_fatPercentsReg_rel,GeneralValueHoz,ebv_milkHoz,evb_fatHoz,ebv_proteinHoz,ebv_insemenationHoz,ebv_serviceHoz,GeneralValueReg_rel
8352300205410,270.680972326229,2289.9,61.44,70.653,0.18441,0.31897,64.11824846,-0.77389328,0.58082467,-0.012104,-0.25222,48.684,46.988,48.432,33.379,28.269,54.05,71.99,35.22,34.257,46.297,,,,,,,
8352300205350,270.633661724844,2186.5,55.491,67.413,0.18431,-5.8471,58.57443267,-0.5784449,0.58019987,-0.010977,-0.27131,32.881,32.333,32.800000000000004,26.673,25.01,53.98,71.63000000000001,35.18,27.138,32.104,,,,,,,
4352300205911,270.2413291437,2139.9,53.13,64.23,0.18946,-9.7023,52.95748469,-0.58517494,0.58775694,-0.017043,-0.28641,73.38,71.116,72.988,45.688,37.51,53.99,73.14,35.17,47.896,69.965,,,,,,,
4353169202277,270.192671665352,2033.7,61.33,61.962,0.15405,-6.5635,31.97628045,-0.45340508,0.57140743,-0.0024709,-0.14367,66.97800000000001,64.4,66.547,39.561,33.526,53.620000000000005,68.27,34.56,41.363,63.163,,,,,,,
8352300205239,269.732251210278,2143.1,53.528,67.857,0.15968,-6.3293,63.29771279,-0.82359088,0.58717965,-0.0036631,-0.2759,35.276,34.72,35.192,29.096,27.499,54.06999999999999,71.81,35.2,29.541,34.482,,,,,,,
4352300203664,269.482281952951,1768.6,67.935,56.436,0.23996,-6.908,28.81953994,-0.91137517,0.5655859,-0.00040048,-0.020438,57.483,55.258,57.141,35.969,31.964,54.73,72.61999999999999,35.53,37.261,54.316,,,,,,,
4352300206450,269.417228506605,2240.7,67.589,64.466,-0.0075614,-0.35525,15.78329979,-1.66195374,0.56597539,-0.033679,-0.15924,64.342,61.892,63.954,37.753,32.015,54.26,70.95,35.46,39.564,60.775,,,,,,,
4352300205856,269.363900452768,2277.4,64.512,70.632,0.38852,2.3878,51.95277766,-0.54005613,0.58411718,-0.0068105,-0.22351,72.287,69.84700000000001,71.867,43.125,35.102,53.98,72.88,35.15,45.327,68.616,,,,,,,
8352300208451,269.322707866881,2222.8,56.588,69.643,0.22059,-2.9743,31.474454,-0.28425469,0.57178837,-0.0079396,-0.25774,33.064,32.044,32.913,19.837,15.581,53.65,70.1,34.64,20.982,31.611,,,,,,,
4352060105055,269.204683361869,1832.2,64.837,58.965,0.023183,-6.4046,199.33203206,0.3405309,0.55234072,0.00025359,0.0019476,74.91799999999999,72.576,74.494,46.57,36.512,53.78,72.76,34.38,48.832,71.334,,,,,,,
8352300205306,269.189851854381,2170.4,58.452,65.73,0.28943,-5.0408,60.74753255,-0.68788182,0.58921175,-0.015575,-0.23664,69.799,67.415,69.405,42.205,35.626000000000005,54.010000000000005,72.95,35.17,44.183,66.27,,,,,,,
8352300208695,269.131000363407,2184.5,67.322,75.353,0.40568,7.9465,31.80032417,-0.44342799,0.56529425,0.021162,-0.10579,59.389,56.391000000000005,58.913,25.882,18.088,53.63,67.22,34.59,28.23,55.031,,,,,,,
4352300202313,269.088123119144,2122.6,66.994,67.75,0.13747,1.9032,23.7140618,-1.26158029,0.58853494,-0.0080533,-0.098653,56.746,54.418,56.38999999999999,33.834,29.099000000000004,54.23,70.99,35.2,35.254999999999995,53.415,,,,,,,
8352300205459,269.056025266803,2190.3,59.589,70.39,0.42124,-0.68678,50.93788348,-0.61381038,0.58556056,0.0033462,-0.22989,56.567,54.251000000000005,56.214,34.481,30.677,54.0,72.00999999999999,35.160000000000004,35.758,53.266000000000005,,,,,,,
4353720000935,268.750329971636,2061.7,69.146,62.835,-0.060599,-0.45372,-26.14924199,-0.68233372,0.2997531,-0.013194,-0.045723,60.471,57.521,60.006,26.647,18.846,53.77,66.7,34.67,29.071,56.18300000000001,,,,,,,
4352300204330,268.579317377424,2352.2,74.215,70.895,0.10386,8.9818,15.71674707,-1.40800204,0.58133151,-0.030117,-0.12523,60.679,58.571,60.354,37.485,31.943,54.27,70.28,35.44,39.159,57.638,,,,,,,
4353169202969,268.110376224551,2230.7,73.436,68.712,0.14291,6.8739,30.25918529,-0.78313851,0.57023907,-0.0026289,-0.10363,61.193,58.557,60.771,34.233000000000004,28.713,53.65,66.92,34.58,35.966,57.359,,,,,,,
8352300207988,267.995126819925,2034.6,68.957,73.496,0.44336,7.7806,29.3522253,-0.53425734,0.5677433,0.024135,-0.033454,59.154,56.236,58.688,29.356,23.681,53.65,66.96,34.599999999999994,31.182,54.915000000000006,,,,,,,
8352300205372,267.801010713248,2258.4,60.131,71.333,0.50683,0.74414,53.32322324,-0.57679941,0.58579879,-0.001652,-0.23821,56.676,54.32,56.315000000000005,33.638,28.791,53.98,71.86,35.15,34.997,53.305,,,,,,,
4352300205707,267.357592079858,2101.6,58.018,64.408,0.28171,-5.7283,52.15343279,-0.48427904,0.5848141,-0.011115,-0.21217,71.68299999999999,69.22,71.256,42.873,35.231,54.02,72.92,35.160000000000004,45.027,67.974,,,,,,,
4352300207548,267.280694339928,2232.4,64.986,66.898,0.13115,0.6414,27.94445319,-1.36150572,0.58095091,-0.013522,-0.14007,62.99400000000001,60.493,62.595,37.226,32.008,54.47,71.43,35.29,38.868,59.355,,,,,,,
8352300205969,267.167379129891,2301.7,67.722,70.008,0.31044,4.6468,30.60775618,-0.58434203,0.56218131,-0.016825,-0.18769,66.786,64.526,66.427,40.672,34.164,54.0,71.89,34.99,42.601,63.486,,,,,,,
8352300205446,267.114443776074,2252.1,58.971,70.652,0.21625,0.035216,52.15464026,-0.5960726,0.58491192,-0.0032488,-0.24847,55.228,52.849,54.864,32.931,29.252,53.98,72.04,35.160000000000004,34.188,51.851,,,,,,,
4352300200763,267.0687353182,2233.2,63.684,71.419,0.22416,3.4878,29.78165303,-0.97079261,0.55754813,-0.0030038,-0.16447,59.012,56.706,58.661,34.741,29.888,54.02,70.82000000000001,35.04,36.321,55.703,,,,,,,
8352300205431,267.003547406111,2164.5,60.078,70.038,0.13148,0.32889,50.95767597,-0.69369721,0.59180577,0.00081217,-0.22684,65.689,63.349,65.318,39.381,33.481,53.99,72.5,35.18,41.206,62.274,,,,,,,
8352300205563,266.564583759646,2147.5,60.828,65.95,0.37366,-2.6199,52.69853482,-0.57876568,0.59652132,-0.01263,-0.22297,70.396,68.075,70.013,43.38,36.793,54.0,73.04,35.22,45.341,66.958,,,,,,,
8352300205360,266.483778941839,2334.8,65.533,74.008,0.45939,6.6458,54.77766269,-0.58633048,0.58633796,-0.00071068,-0.20987,60.831,58.584,60.49,36.616,31.915,53.47,72.11999999999999,34.9,38.196000000000005,57.603,,,,,,,
8353100302375,266.385429466044,1766.8,66.865,57.309,0.40453,-5.9462,23.19182269,0.07561693,0.45575685,0.0021065,0.059302,66.783,64.209,66.352,40.188,34.905,39.89,54.120000000000005,25.46,41.844,62.981,,,,,,,
4352300201901,265.908321436155,2017.0,60.784,61.966,0.063999,-5.317,40.74442233,-1.12468044,0.56173171,-0.0051398,-0.11889,66.082,63.816,65.72,41.289,35.927,54.94,72.74000000000001,35.75,42.972,62.77199999999999,,,,,,,
6353169261423,265.592365112668,2074.5,63.633,65.37,0.18205,-0.87348,31.97859273,-0.424315,0.56907449,0.00072033,-0.13316,22.203,21.32,22.055,10.639,7.234599999999999,53.620000000000005,65.38000000000001,34.56,11.573,20.880000000000003,,,,,,,
4352300201626,265.582575768013,1827.0,48.969,58.111,-0.057943,-15.275,33.13690096,-0.20393439,0.57059768,0.0050051,-0.18144,75.839,73.215,75.355,39.028,25.202,53.63,68.35,34.599999999999994,42.413,71.75399999999999,,,,,,,
8352060111241,265.554603844103,1877.8,66.781,60.46,0.22973,-2.986,35.84972164,0.14300964,0.69972586,0.0011785,0.0055645,76.24300000000001,74.002,75.844,46.773,36.512,53.190000000000005,70.49,34.4,49.321,72.82499999999999,,,,,,,
6353169234296,265.322654621414,2118.5,60.042,66.811,0.31148,-1.9036,32.40829193,-0.36665937,0.56863957,-0.005155,-0.18782,30.745,30.001,30.625000000000004,19.568,14.868,53.64,66.63,34.56,20.661,29.652,,,,,,,
4352019001396,265.30844594117,1868.6,69.117,65.075,0.44247,2.0059,-8.90919378,-0.55059918,0.82204972,0.016392,0.037853,72.408,69.955,71.986,41.542,31.712,52.080000000000005,67.61,33.410000000000004,44.078,68.748,,,,,,,
8352300205533,265.177301044939,2210.6,59.062,69.314,0.32448,-0.43377,52.67442026,-0.51132006,0.5880635,-0.0076261,-0.23398,64.126,61.605,63.728,37.088,31.866,53.98,72.63,35.18,38.821,60.459,,,,,,,
4352300205553,264.976258004541,2072.4,55.601,64.908,0.072347,-5.7366,26.71471407,-0.65782235,0.57487743,-0.0071324,-0.19397,71.642,69.443,71.277,44.412,36.936,53.790000000000006,72.57000000000001,34.910000000000004,46.557,68.37100000000001,,,,,,,
4352300200139,264.91179432433,2440.2,72.499,77.582,0.58834,14.117,31.98185719,-0.56539334,0.56625382,0.0041224,-0.13261,60.798,57.707,60.312,23.674,12.286,53.620000000000005,66.67999999999999,34.599999999999994,26.318,56.269000000000005,,,,,,,
8353710112003,264.903742739523,1887.6,62.386,61.57,0.16696,-4.4358,31.98185719,-0.52291289,0.53198434,0.0083675,-0.0096062,61.711000000000006,59.17400000000001,61.304,37.25,33.058,53.620000000000005,68.91000000000001,34.64,38.645,58.031,,,,,,,
4353169202274,264.628591490949,1954.3,53.894,57.87,-0.014887,-12.232,29.91609922,-0.44689568,0.56951805,-0.016192,-0.17729,70.12899999999999,67.437,69.662,38.426,29.64,53.65,68.35,34.57,40.824,66.07300000000001,,,,,,,
8352300205554,264.544813229987,2109.0,58.146,64.999,0.41023,-4.3367,56.11079771,-0.63017866,0.58941696,-0.010896,-0.22789,70.101,67.792,69.716,42.839,35.771,54.010000000000005,72.78999999999999,35.17,44.89,66.671,,,,,,,
8352019008359,264.482029210714,1652.3,60.426,56.195,0.18934,-9.8278,,,,0.0082305,0.050317,67.824,65.19800000000001,67.387,36.219,27.285,,,,38.658,63.941,,,,,,,
8353715012136,264.438414498207,1920.4,77.72,54.979,-0.027602,-0.20185,,,,-0.009663,0.061576,69.247,66.823,68.84599999999999,41.835,35.444,,,,43.748,65.659,,,,,,,
8352300205560,264.437330928281,2171.4,56.144,69.83,0.23687,-1.4212,53.73749767,-0.61984022,0.59118487,0.0056122,-0.21335,35.768,34.997,35.653,31.414,26.047,53.98,71.82,35.14,32.408,46.499,,,,,,,
8352300208471,264.293563148686,2229.4,67.596,69.273,0.35367,4.9246,28.48293732,-0.51098299,0.56867623,-0.015229,-0.14792,68.587,65.873,68.13900000000001,32.300000000000004,21.832,53.64,67.32000000000001,34.57,35.323,64.533,,,,,,,
8352300208806,264.058024911745,2157.1,55.877,66.846,0.23645,-3.859,31.474454,-0.27529972,0.57364704,-0.010309,-0.25303,30.505,29.808,30.397,19.693,15.429,53.65,70.12,34.64,20.77,29.493,,,,,,,
6353169247116,263.924527753945,2098.9,53.938,67.057,0.26509,-4.8347,31.52780688,-0.41469926,0.56890136,0.0011079,-0.27162,34.657,34.089000000000006,34.567,27.957,25.98,53.620000000000005,68.69,34.59,28.472,33.83,,,,,,,
4352300201416,263.445124862107,1878.4,55.395,57.17,0.05114,-11.557,14.59105452,-0.95100918,0.55922583,-0.011411,-0.14201,74.664,72.282,74.234,45.938,37.453,54.59,71.87,35.38,48.188,71.018,,,,,,,
4352300203792,263.43493696258,2012.6,55.619,58.267,-0.034788,-10.445,100.93048188,-1.10466255,0.56174474,-0.025143,-0.17843,69.36,66.93599999999999,68.959,40.728,33.317,54.02,71.15,35.53,42.888,65.766,,,,,,,
8352300208098,263.347961601649,1937.4,55.22,64.334,0.19519,-5.9934,29.93175801,-0.55415271,0.56109627,0.016779,-0.13384,73.81299999999999,71.532,73.422,43.42,33.024,53.78,68.8,34.8,46.128,70.379,,,,,,,
4352300201268,263.257101095448,1884.9,55.668,58.734,-0.0854,-9.9251,28.33568806,-0.85017841,0.57184961,-0.0089389,-0.14118,64.113,61.768,63.735,39.698,34.163,54.690000000000005,73.0,35.55,41.316,60.69799999999999,,,,,,,
8353715114881,263.016274966598,2115.8,71.143,68.43,0.020528,7.1547,26.17299476,-0.84081761,0.56414557,0.005337,-0.030241,56.003,53.601,55.637,31.819,26.518000000000004,54.790000000000006,68.92,34.17,33.411,52.59700000000001,,,,,,,
8352300208756,262.725110869661,2118.5,61.454,68.564,0.21395,1.3547,31.80032417,-0.38771622,0.56491671,0.010734,-0.16099,68.661,66.05799999999999,68.231,34.71,24.304,53.63,68.24,34.62,37.569,64.794,,,,,,,
4353169205406,262.650720386415,1851.9,53.287,65.485,0.15671,-5.943,31.84626013,-0.39864211,0.56909693,0.02904,-0.1377,67.673,64.50399999999999,67.12700000000001,28.2,17.592,53.63,66.95,34.56,31.237,62.88399999999999,,,,,,,
4352300201786,262.582798367634,2049.4,64.89,64.791,0.15185,0.48198,37.25340765,-0.99921937,0.56202559,-0.0030681,-0.090794,67.72399999999999,65.184,67.301,40.278000000000006,34.315,54.93,72.39999999999999,35.7,42.097,63.963,,,,,,,
4352060102900,262.518448218661,1893.8,66.778,61.877,0.18797,-0.75354,-40.00970735,-0.65465607,0.86571445,-0.0012393,0.0098875,69.682,67.328,69.28999999999999,43.284,37.331,55.83,71.25,35.730000000000004,45.103,66.189,,,,,,,
8352300205549,262.484483271094,1982.8,53.213,63.541,0.21131,-7.5557,52.87468817,-0.57014857,0.58870064,0.00069086,-0.21625,59.411,57.159000000000006,59.067,35.97,31.491000000000003,53.97,72.26,35.14,37.459,56.176,,,,,,,
4352300203620,262.417015367848,1968.6,58.335,56.515,-0.055688,-9.8583,98.63015787,-1.18931367,0.55788201,-0.025174,-0.12955,62.752,60.211000000000006,62.348000000000006,37.159,31.57,54.06999999999999,71.58,35.5,38.838,59.786,,,,,,,
8352300208525,262.338194177659,1974.5,58.673,65.306,-0.19052,-2.3925,35.35807298,-0.39114066,0.5706345,0.011964,-0.10784,68.245,65.094,67.705,28.131,17.477,53.63,67.25,34.57,31.242,63.48,,,,,,,
4352300207697,262.221931699573,2160.2,64.096,61.822,-0.17244,-1.9322,4.70680321,-1.26711603,0.57174963,-0.040719,-0.16388,66.33099999999999,64.005,65.962,39.212,32.36,54.690000000000005,70.77,35.42,41.246,62.932,,,,,,,
4352300202595,262.217390295885,2016.4,67.032,62.004,-0.045255,-0.15447,101.27382244,-1.18182924,0.55816987,-0.018228,-0.081445,57.223,54.82599999999999,56.858,32.82,28.164,54.010000000000005,70.42,35.370000000000005,34.357,53.792,,,,,,,
6353169216072,262.199757575949,2115.8,58.545,66.793,0.29334,-1.7198,32.40829193,-0.40330207,0.56863957,-0.0045772,-0.19882,27.641,26.869,27.524,17.505000000000003,13.835,53.64,66.4,34.56,18.424,26.540000000000003,,,,,,,
4352300207827,262.163964747976,2081.9,64.16,62.258,0.083721,-1.7859,28.40115271,-1.41493012,0.5841242,-0.032768,-0.16,70.068,67.683,69.675,41.86,34.77,54.31,70.6,35.52,43.967,66.533,,,,,,,
4352300208663,262.069977667231,2254.5,72.125,69.017,0.074924,8.4877,121.69604469,-1.69092483,0.57770662,-0.01495,-0.11064,51.656,49.863,51.39,34.065,30.747000000000003,55.50000000000001,71.39999999999999,37.1,35.154999999999994,49.115,,,,,,,
8352300205275,261.840371500848,2169.7,55.426,65.849,0.24349,-4.1766,53.06476861,-0.48887405,0.58815167,-0.013921,-0.27744,44.156,42.406,43.899,29.723,24.83,53.99,72.23,35.160000000000004,30.47,41.721,,,,,,,
